Body Name,Vendor Number,Vendor Name,Cost Centre,Service Label,BV Code,Amount,Period
Slough Borough Council,808716,Mini Todds Ltd,F909,Children & Families,Supplies and Services,"1,045.20",Oct-23
Slough Borough Council,805121,MMCG (2) Limited,M15D,Adult Social Care Operations,Supplies and Services,"3,580.20",Oct-23
Slough Borough Council,805121,MMCG (2) Limited,M15D,Adult Social Care Operations,Supplies and Services,"3,580.20",Oct-23
Slough Borough Council,805121,MMCG (2) Limited,M15F,Adult Social Care Operations,Supplies and Services,"3,580.20",Oct-23
Slough Borough Council,805121,MMCG (2) Limited,M17C,Adult Social Care Operations,Supplies and Services,"3,580.20",Oct-23
Slough Borough Council,805121,MMCG (2) Limited,M17C,Adult Social Care Operations,Supplies and Services,"3,580.20",Oct-23
Slough Borough Council,805121,MMCG (2) Limited,M18C,Adult Social Care Operations,Supplies and Services,"3,580.20",Oct-23
Slough Borough Council,805121,MMCG (2) Limited,M18C,Adult Social Care Operations,Supplies and Services,"4,415.61",Oct-23
Slough Borough Council,805121,MMCG (2) Limited,M18C,Adult Social Care Operations,Supplies and Services,"3,580.20",Oct-23
Slough Borough Council,805121,MMCG (2) Limited,M18C,Adult Social Care Operations,Supplies and Services,"3,580.20",Oct-23
