Authority,Supplier,Expenditure Category,Directorate,Service,Cost Centre,Cost Centre Name,Revenue / Capital,TransNo,Posted amount,Date Paid
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40781547,1617.72,2024-11-13 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40781548,1244.4,2024-11-13 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40782184,1119.12,2024-11-14 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40782185,622.2,2024-11-14 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40782186,622.2,2024-11-14 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40782187,622.2,2024-11-14 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40782188,1119.96,2024-11-14 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40782189,1866.6,2024-11-14 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40782190,622.2,2024-11-14 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40782191,1244.4,2024-11-14 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40782192,622.2,2024-11-14 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40782193,746.64,2024-11-14 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40782206,622.2,2024-11-14 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40782207,622.2,2024-11-14 00:00:00
