Authority,Supplier,Expenditure Category,Directorate,Service,Cost Centre,Cost Centre Name,Revenue / Capital,TransNo,Posted amount,Date Paid
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40794983,1140,2025-01-15 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40794984,900,2025-01-15 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40794991,960,2025-01-15 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40794993,1050,2025-01-15 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40795010,838.95,2025-01-15 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40795012,1020,2025-01-15 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40795014,1350,2025-01-15 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40795036,1400,2025-01-15 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40795037,1125,2025-01-15 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40795038,1200,2025-01-15 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40795039,1290,2025-01-15 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40795040,1260,2025-01-15 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40795041,1350,2025-01-15 00:00:00
