Transaction Date,Local Authority Department,BENEFICIARY,Purpose,Amount,Non Recoverable,Merchant Category
07-02-2024,Inclusive Economy & Housing,Pinnacle Estates Ltd,Rents Payable,1417.32,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Pinnacle Estates Ltd,Rents Payable,1178,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Pinnacle Estates Ltd,Rents Payable,1472.5,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Pinnacle Estates Ltd,Rents Payable,1417.32,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Pinnacle Estates Ltd,Rents Payable,1271,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Pinnacle Estates Ltd,Rents Payable,1054,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Pinnacle Estates Ltd,Rents Payable,775,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Pinnacle Estates Ltd,Rents Payable,1705,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Pinnacle Estates Ltd,Rents Payable,775,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Pinnacle Estates Ltd,Rents Payable,1771.65,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Pinnacle Estates Ltd,Rents Payable,1771.65,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Pinnacle Estates Ltd,Rents Payable,775,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Pinnacle Estates Ltd,Rents Payable,-1134,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Pinnacle Estates Ltd,Rents Payable,1530,0,NON COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Metro Letts Ltd,Rents Payable,1705,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Metro Letts Ltd,Rents Payable,1417.32,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Metro Letts Ltd,Rents Payable,1472.5,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Metro Letts Ltd,Rents Payable,1860,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Metro Letts Ltd,Rents Payable,1472.5,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Metro Letts Ltd,Rents Payable,1417.32,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Metro Letts Ltd,Rents Payable,600,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Metro Letts Ltd,Rents Payable,1860,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Metro Letts Ltd,Rents Payable,840,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Metro Letts Ltd,Rents Payable,1116,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Metro Letts Ltd,Rents Payable,1550,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Metro Letts Ltd,Rents Payable,1705,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Metro Letts Ltd,Rents Payable,1953,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Metro Letts Ltd,Rents Payable,1472.5,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Metro Letts Ltd,Rents Payable,1116,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Metro Letts Ltd,Rents Payable,1302,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Metro Letts Ltd,Rents Payable,1705,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Metro Letts Ltd,Rents Payable,1116,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Metro Letts Ltd,Rents Payable,1472.5,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Metro Letts Ltd,Rents Payable,1771.65,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Metro Letts Ltd,Rents Payable,1116,0,COMMERCIAL SUPPLIER
